                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.03185,                   10.5,                 6.1578,                0.16933,                0.88034,                0.99961,                      1,                  0.995,                0.99175,                0.55381,                0.54961,                0.36273,                 0.1063,                0.05538,                 7.5412,                 5.6498,                0.24372,                0.62299,               0.008614,               0.008614,               0.008614
                     24,                0.03049,                 10.474,                 6.0638,                0.16355,                0.87661,                0.99969,                0.99685,                  0.995,                0.98963,                0.51296,                0.51086,                0.28999,                0.08565,                0.06028,                 7.7386,                 5.8847,                 0.3489,                0.65325,               0.008548,               0.008548,               0.008548
                     25,                0.03056,                 10.426,                 6.2008,                0.16494,                 0.8801,                0.99829,                      1,                  0.995,                0.99304,                0.56881,                0.56693,                 0.4103,                 0.1205,                0.04933,                 7.5601,                 5.6986,                0.21761,                0.60129,               0.008482,               0.008482,               0.008482
                     26,                0.03023,                 10.328,                 6.1126,                 0.1636,                0.87902,                0.99987,                0.99843,                  0.995,                0.98989,                0.54445,                0.54331,                  0.352,                0.11023,                0.05178,                 7.6421,                 5.7959,                0.24944,                0.60342,               0.008416,               0.008416,               0.008416
                     27,                 0.0299,                 10.261,                 5.9916,                 0.1662,                0.87817,                0.99971,                      1,                  0.995,                0.99154,                0.57368,                0.57165,                0.38502,                0.11949,                0.05328,                 7.2711,                 5.7249,                0.24099,                0.62286,                0.00835,                0.00835,                0.00835
                     28,                0.03005,                 10.186,                 5.9834,                0.16163,                0.87711,                0.99971,                      1,                  0.995,                0.99323,                0.56991,                0.57008,                0.44836,                0.15355,                0.04966,                 7.3539,                 5.6006,                0.21671,                0.61184,               0.008284,               0.008284,               0.008284
                     29,                0.02989,                 10.108,                 5.9636,                0.16187,                0.87805,                0.99816,                      1,                0.99432,                0.99013,                0.61632,                0.61732,                0.46527,                0.15377,                0.04875,                 7.2453,                 5.8026,                0.22831,                0.60345,               0.008218,               0.008218,               0.008218
                     30,                 0.0288,                 9.9879,                 5.9421,                0.15702,                0.87525,                0.99981,                      1,                  0.995,                0.99288,                0.60858,                0.60472,                0.45277,                0.15548,                 0.0556,                 7.1337,                 5.3988,                 0.2387,                0.63205,               0.008152,               0.008152,               0.008152
                     31,                0.02892,                 9.9855,                 5.8945,                0.15759,                0.87744,                0.99955,                      1,                  0.995,                0.99478,                0.60777,                0.60787,                0.42345,                0.13846,                0.04686,                 7.1196,                  5.468,                0.22406,                0.59453,               0.008086,               0.008086,               0.008086
                     32,                 0.0282,                 9.9413,                 5.8954,                0.15766,                0.87424,                0.99915,                      1,                  0.995,                0.99436,                0.57271,                0.57323,                0.42331,                0.15088,                0.04803,                 7.1787,                 5.7155,                0.21414,                0.60159,                0.00802,                0.00802,                0.00802
                     33,                0.02848,                 9.8808,                 5.8747,                0.15668,                0.87634,                0.99948,                      1,                  0.995,                0.99257,                0.59649,                0.59843,                0.43824,                0.15152,                0.04797,                 7.0762,                 5.4928,                0.24393,                0.60242,               0.007954,               0.007954,               0.007954
                     34,                 0.0278,                 9.8686,                 5.8401,                0.15247,                0.87434,                0.99835,                      1,                  0.995,                0.99397,                0.61474,                0.61575,                0.44549,                 0.1548,                0.04527,                 6.9591,                 5.4277,                0.22643,                0.59513,               0.007888,               0.007888,               0.007888
                     35,                0.02759,                 9.7912,                 5.7754,                0.15328,                 0.8709,                0.99991,                      1,                  0.995,                0.99446,                0.63464,                0.63465,                0.50874,                0.18221,                0.04891,                 6.7821,                 5.3136,                0.21544,                0.60674,               0.007822,               0.007822,               0.007822
