                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.01967,                 7.9792,                 4.6287,                0.12156,                0.86478,                0.99992,                      1,                  0.995,                0.99499,                0.72593,                0.72598,                0.65698,                0.28427,                0.04002,                  5.771,                 5.1998,                0.19123,                0.56311,               0.004192,               0.004192,               0.004192
                     91,                 0.0194,                 7.9915,                 4.5498,                0.12145,                0.86896,                0.99992,                      1,                  0.995,                0.99499,                0.73065,                0.73071,                0.66081,                0.28513,                0.04004,                 5.7726,                  5.212,                0.19179,                0.56334,               0.004126,               0.004126,               0.004126
                     92,                0.01934,                 8.0883,                 4.6463,                0.12117,                0.86844,                0.99992,                      1,                  0.995,                0.99499,                0.73222,                0.73228,                0.66254,                 0.2836,                   0.04,                 5.7711,                 5.2297,                0.19203,                 0.5635,                0.00406,                0.00406,                0.00406
                     93,                 0.0192,                 8.0147,                 4.5295,                0.12076,                0.86574,                0.99992,                      1,                  0.995,                0.99499,                0.73222,                0.73228,                0.66756,                0.28649,                0.03983,                 5.7667,                 5.2472,                0.19351,                 0.5629,               0.003994,               0.003994,               0.003994
                     94,                0.01897,                 7.9698,                 4.5535,                0.11842,                0.86551,                0.99992,                      1,                  0.995,                0.99498,                0.73695,                0.73701,                0.67436,                0.28739,                0.03972,                 5.7628,                 5.2593,                0.19306,                0.56246,               0.003928,               0.003928,               0.003928
                     95,                0.01902,                 7.9194,                 4.4854,                0.11736,                0.86571,                0.99992,                      1,                  0.995,                0.99499,                0.73066,                0.73071,                0.66843,                0.28706,                0.03974,                 5.7586,                 5.2692,                0.19268,                0.56252,               0.003862,               0.003862,               0.003862
                     96,                0.01872,                 7.9072,                 4.5262,                0.11837,                 0.8679,                0.99992,                      1,                  0.995,                0.99499,                0.73538,                0.73543,                 0.6715,                0.28817,                0.03971,                 5.7559,                 5.2796,                 0.1935,                0.56232,               0.003796,               0.003796,               0.003796
                     97,                0.01864,                 8.0116,                 4.5753,                0.11896,                0.86409,                0.99992,                      1,                  0.995,                0.99499,                0.73853,                0.73858,                0.67541,                0.28954,                0.03968,                 5.7468,                 5.2869,                0.19439,                0.56208,                0.00373,                0.00373,                0.00373
                     98,                0.01863,                 7.7516,                 4.3318,                0.11598,                0.86606,                0.99992,                      1,                  0.995,                0.99499,                0.74011,                0.74016,                0.67759,                0.29036,                0.03965,                 5.7439,                 5.2917,                0.19476,                0.56189,               0.003664,               0.003664,               0.003664
                     99,                0.01852,                 7.8353,                 4.4399,                0.11608,                0.86565,                0.99992,                      1,                  0.995,                0.99499,                0.74168,                0.74173,                0.68115,                0.29243,                 0.0396,                 5.7409,                 5.3025,                0.19449,                0.56181,               0.003598,               0.003598,               0.003598
                    100,                0.01832,                 7.8777,                 4.4317,                0.11652,                0.86457,                0.99992,                      1,                  0.995,                0.99499,                0.74326,                0.74331,                0.68268,                0.29234,                0.03957,                 5.7331,                 5.3113,                 0.1951,                0.56166,               0.003532,               0.003532,               0.003532
                    101,                0.01616,                 6.1049,                 4.5321,                0.09681,                0.85565,                0.99992,                      1,                  0.995,                  0.995,                0.74168,                0.74173,                0.67891,                0.29058,                0.03944,                 5.7256,                 5.3147,                0.19592,                0.56098,               0.003466,               0.003466,               0.003466
                    102,                0.01535,                 6.0615,                 4.5719,                0.07581,                0.84924,                0.99992,                      1,                  0.995,                  0.995,                0.74011,                0.74016,                0.67585,                0.29044,                0.03924,                 5.7177,                 5.3187,                0.19665,                   0.56,                 0.0034,                 0.0034,                 0.0034
                    103,                0.01537,                 6.0534,                 4.5612,                0.07572,                 0.8485,                0.99992,                      1,                  0.995,                  0.995,                0.74326,                0.74331,                0.67603,                0.29122,                0.03891,                 5.7057,                 5.3206,                0.19693,                0.55856,               0.003334,               0.003334,               0.003334
                    104,                  0.015,                 6.0363,                 4.5355,                0.07351,                0.85243,                0.99992,                      1,                  0.995,                  0.995,                0.74168,                0.74173,                0.67227,                0.28949,                0.03868,                 5.6997,                 5.3286,                0.19657,                0.55746,               0.003268,               0.003268,               0.003268
                    105,                0.01456,                 5.9835,                 4.3548,                0.07167,                0.85098,                0.99992,                      1,                  0.995,                  0.995,                0.74011,                0.74016,                0.66983,                0.28903,                0.03843,                 5.6929,                 5.3363,                 0.1963,                0.55633,               0.003202,               0.003202,               0.003202
                    106,                 0.0146,                 5.9273,                 4.2988,                 0.0722,                0.85063,                0.99992,                      1,                  0.995,                  0.995,                0.73696,                0.73701,                0.65848,                 0.2858,                0.03813,                 5.6861,                 5.3423,                0.19538,                0.55499,               0.003136,               0.003136,               0.003136
                    107,                0.01445,                 5.9137,                 4.1043,                 0.0707,                0.85015,                0.99992,                      1,                  0.995,                  0.995,                0.74168,                0.74173,                0.66497,                0.28797,                0.03783,                 5.6757,                 5.3465,                0.19396,                0.55366,                0.00307,                0.00307,                0.00307
                    108,                0.01451,                 5.8683,                 4.1034,                0.07139,                0.85018,                0.99992,                      1,                  0.995,                  0.995,                0.74011,                0.74016,                0.66086,                0.28578,                0.03756,                 5.6693,                 5.3559,                0.19353,                0.55245,               0.003004,               0.003004,               0.003004
                    109,                0.01434,                 5.7904,                 4.0292,                0.06981,                0.84738,                0.99992,                      1,                  0.995,                  0.995,                0.73854,                0.73858,                0.66092,                0.28684,                0.03737,                 5.6639,                 5.3539,                0.19227,                0.55145,               0.002938,               0.002938,               0.002938
                    110,                0.01404,                 5.8599,                  4.003,                0.07012,                0.84793,                0.99992,                      1,                  0.995,                  0.995,                0.73381,                0.73386,                0.65344,                 0.2845,                0.03714,                 5.6588,                 5.3566,                0.19176,                0.55029,               0.002872,               0.002872,               0.002872
                    111,                0.01398,                 5.8283,                 4.0339,                0.06894,                0.84989,                0.99992,                      1,                  0.995,                  0.995,                0.73224,                0.73228,                0.65493,                0.28431,                0.03695,                 5.6561,                  5.368,                0.19112,                0.54958,               0.002806,               0.002806,               0.002806
                    112,                0.01386,                 5.7344,                 3.9763,                0.06837,                0.84895,                0.99992,                      1,                  0.995,                  0.995,                0.73539,                0.73543,                0.65385,                0.28506,                0.03677,                 5.6528,                 5.3739,                0.19054,                0.54868,                0.00274,                0.00274,                0.00274
                    113,                0.01355,                 5.6914,                 3.8779,                0.06673,                0.84622,                0.99992,                      1,                  0.995,                  0.995,                0.73539,                0.73543,                 0.6561,                0.28563,                0.03656,                 5.6491,                 5.3846,                0.19054,                0.54763,               0.002674,               0.002674,               0.002674
                    114,                0.01339,                 5.7057,                 3.8592,                0.06639,                0.85103,                0.99992,                      1,                  0.995,                  0.995,                0.73382,                0.73386,                0.65334,                0.28308,                0.03644,                 5.6478,                 5.3877,                0.19004,                0.54707,               0.002608,               0.002608,               0.002608
                    115,                0.01327,                 5.6513,                 3.8677,                 0.0658,                 0.8477,                0.99992,                      1,                  0.995,                  0.995,                0.73382,                0.73386,                0.65412,                0.28364,                0.03624,                 5.6453,                 5.3918,                 0.1902,                0.54617,               0.002542,               0.002542,               0.002542
                    116,                0.01314,                 5.6338,                 3.7271,                0.06515,                0.84617,                0.99992,                      1,                  0.995,                  0.995,                0.73224,                0.73228,                0.65123,                0.28277,                0.03608,                 5.6433,                 5.3989,                0.18983,                0.54516,               0.002476,               0.002476,               0.002476
                    117,                0.01321,                 5.6336,                 3.6328,                0.06517,                0.84805,                0.99992,                      1,                  0.995,                  0.995,                0.73224,                0.73228,                0.65199,                0.28415,                0.03593,                 5.6402,                 5.4125,                0.18893,                0.54447,                0.00241,                0.00241,                0.00241
                    118,                0.01346,                 5.6492,                 3.6828,                0.06595,                0.85026,                0.99992,                      1,                  0.995,                  0.995,                0.73224,                0.73228,                0.65224,                0.28497,                 0.0358,                 5.6368,                 5.4222,                 0.1886,                 0.5437,               0.002344,               0.002344,               0.002344
                    119,                0.01335,                 5.5206,                 3.6186,                0.06615,                0.85075,                0.99992,                      1,                  0.995,                  0.995,                0.73382,                0.73386,                 0.6544,                0.28747,                0.03567,                 5.6355,                 5.4304,                0.18772,                0.54294,               0.002278,               0.002278,               0.002278
                    120,                0.01324,                 5.4348,                 3.5013,                 0.0654,                  0.847,                0.99992,                      1,                  0.995,                  0.995,                0.73539,                0.73543,                0.65372,                0.28682,                0.03549,                 5.6311,                 5.4403,                0.18785,                0.54201,               0.002212,               0.002212,               0.002212
                    121,                0.01321,                 5.5014,                 3.4831,                0.06368,                0.84326,                0.99992,                      1,                  0.995,                  0.995,                0.73224,                0.73228,                0.65428,                0.28842,                0.03534,                 5.6293,                 5.4548,                0.18655,                0.54125,               0.002146,               0.002146,               0.002146
                    122,                0.01292,                 5.3881,                 3.4639,                0.06396,                0.85229,                0.99992,                      1,                  0.995,                  0.995,                0.73067,                0.73071,                0.65379,                0.28974,                0.03516,                 5.6251,                 5.4634,                0.18573,                0.54046,                0.00208,                0.00208,                0.00208
                    123,                0.01254,                 5.4308,                 3.4109,                0.06173,                0.84384,                0.99992,                      1,                  0.995,                  0.995,                 0.7291,                0.72913,                0.65186,                0.28983,                0.03505,                 5.6224,                 5.4755,                0.18534,                0.53985,               0.002014,               0.002014,               0.002014
                    124,                0.01273,                 5.3266,                 3.3911,                0.06315,                0.84913,                0.99992,                      1,                  0.995,                  0.995,                0.73067,                0.73071,                0.65387,                0.29076,                0.03494,                 5.6196,                 5.4868,                0.18503,                0.53918,               0.001948,               0.001948,               0.001948
                    125,                0.01274,                  5.337,                 3.4443,                0.06297,                0.84618,                0.99992,                      1,                  0.995,                  0.995,                0.73067,                0.73071,                0.65482,                0.29114,                0.03477,                 5.6161,                 5.5029,                0.18471,                0.53831,               0.001882,               0.001882,               0.001882
                    126,                0.01244,                 5.3585,                 3.3216,                0.06187,                0.84904,                0.99992,                      1,                  0.995,                  0.995,                0.73225,                0.73228,                0.65593,                0.29232,                 0.0346,                  5.614,                 5.5161,                0.18461,                 0.5374,               0.001816,               0.001816,               0.001816
                    127,                0.01243,                 5.2864,                   3.33,                0.06113,                0.84672,                0.99992,                      1,                  0.995,                  0.995,                0.73382,                0.73386,                0.65733,                0.29255,                0.03444,                 5.6105,                 5.5386,                0.18366,                 0.5366,                0.00175,                0.00175,                0.00175
                    128,                0.01259,                 5.2882,                 3.2241,                0.06346,                 0.8475,                0.99992,                      1,                  0.995,                  0.995,                0.73382,                0.73386,                0.65931,                0.29465,                 0.0343,                 5.6095,                 5.5523,                0.18316,                0.53597,               0.001684,               0.001684,               0.001684
                    129,                0.01219,                 5.2432,                 3.2171,                0.06039,                0.84731,                0.99992,                      1,                  0.995,                  0.995,                 0.7354,                0.73543,                 0.6646,                0.29619,                0.03422,                 5.6079,                 5.5736,                0.18189,                0.53545,               0.001618,               0.001618,               0.001618
                    130,                0.01214,                  5.144,                 3.1242,                0.05924,                0.84379,                0.99992,                      1,                  0.995,                  0.995,                 0.7354,                0.73543,                0.66339,                0.29685,                0.03407,                 5.6045,                 5.5854,                0.18148,                0.53473,               0.001552,               0.001552,               0.001552
                    131,                0.01182,                 5.2078,                 3.2217,                 0.0585,                0.84722,                0.99992,                      1,                  0.995,                  0.995,                0.73697,                0.73701,                  0.667,                0.29835,                0.03392,                 5.6032,                 5.6006,                0.18102,                0.53387,               0.001486,               0.001486,               0.001486
                    132,                0.01186,                 5.1987,                 3.1526,                 0.0585,                 0.8506,                0.99992,                      1,                  0.995,                  0.995,                0.73855,                0.73858,                0.66447,                 0.2981,                0.03381,                 5.6001,                 5.6147,                0.17996,                0.53329,                0.00142,                0.00142,                0.00142
                    133,                0.01195,                 5.0943,                 3.0447,                0.05905,                0.84659,                0.99992,                      1,                  0.995,                  0.995,                0.73697,                0.73701,                 0.6644,                0.30125,                0.03369,                 5.5982,                 5.6355,                0.17898,                0.53281,               0.001354,               0.001354,               0.001354
                    134,                0.01214,                 5.1281,                 3.0497,                0.05934,                0.84597,                0.99992,                      1,                  0.995,                  0.995,                0.73855,                0.73858,                0.66383,                0.30066,                0.03353,                 5.5949,                 5.6469,                0.17821,                0.53196,               0.001288,               0.001288,               0.001288
                    135,                0.01157,                 5.0122,                 3.0765,                0.05741,                 0.8492,                0.99992,                      1,                  0.995,                  0.995,                 0.7417,                0.74173,                0.67128,                 0.3013,                0.03336,                 5.5927,                 5.6596,                 0.1775,                0.53106,               0.001222,               0.001222,               0.001222
                    136,                0.01151,                 5.0392,                 3.0148,                0.05664,                0.84974,                0.99992,                      1,                  0.995,                  0.995,                0.74012,                0.74016,                0.67072,                0.30115,                 0.0332,                 5.5908,                 5.6768,                 0.1767,                0.53026,               0.001156,               0.001156,               0.001156
                    137,                0.01161,                 5.0193,                 2.9416,                0.05653,                0.84653,                0.99992,                      1,                  0.995,                  0.995,                0.74012,                0.74016,                0.67051,                0.30146,                0.03301,                 5.5896,                 5.6904,                0.17618,                 0.5294,                0.00109,                0.00109,                0.00109
                    138,                0.01145,                 4.9612,                 2.9293,                0.05687,                0.84817,                0.99992,                      1,                  0.995,                  0.995,                0.74012,                0.74016,                0.67401,                0.30298,                 0.0329,                 5.5865,                 5.7023,                 0.1753,                0.52875,               0.001024,               0.001024,               0.001024
                    139,                0.01148,                 4.9378,                 2.8832,                0.05689,                0.84689,                0.99992,                      1,                  0.995,                  0.995,                0.74012,                0.74016,                0.67559,                 0.3031,                0.03274,                 5.5837,                 5.7202,                0.17496,                  0.528,               0.000958,               0.000958,               0.000958
                    140,                0.01146,                  4.828,                 2.8559,                0.05674,                0.84377,                0.99992,                      1,                  0.995,                  0.995,                0.74012,                0.74016,                0.67648,                0.30296,                0.03262,                 5.5815,                 5.7332,                0.17419,                0.52726,               0.000892,               0.000892,               0.000892
                    141,                0.01136,                 4.8871,                 2.8735,                 0.0568,                0.84633,                0.99992,                      1,                  0.995,                  0.995,                0.74327,                0.74331,                0.67737,                0.30226,                 0.0325,                 5.5787,                 5.7455,                0.17371,                0.52656,               0.000826,               0.000826,               0.000826
                    142,                0.01146,                 4.8243,                 2.8166,                0.05774,                0.84722,                0.99992,                      1,                  0.995,                  0.995,                0.74012,                0.74016,                0.67337,                 0.3027,                0.03239,                 5.5759,                 5.7574,                  0.173,                0.52582,                0.00076,                0.00076,                0.00076
                    143,                0.01127,                 4.7677,                 2.7468,                0.05555,                0.84262,                0.99992,                      1,                  0.995,                  0.995,                 0.7417,                0.74173,                0.67462,                0.30369,                0.03224,                 5.5726,                 5.7681,                0.17268,                0.52498,               0.000694,               0.000694,               0.000694
                    144,                0.01128,                 4.7761,                 2.6973,                0.05537,                0.84557,                0.99992,                      1,                  0.995,                  0.995,                0.73855,                0.73858,                0.67203,                 0.3039,                 0.0321,                 5.5703,                 5.7812,                 0.1727,                0.52408,               0.000628,               0.000628,               0.000628
                    145,                0.01091,                 4.7607,                 2.7608,                 0.0543,                0.84617,                0.99992,                      1,                  0.995,                  0.995,                0.73855,                0.73858,                0.67256,                0.30524,                0.03194,                 5.5679,                 5.7989,                0.17213,                0.52323,               0.000562,               0.000562,               0.000562
                    146,                0.01087,                 4.6565,                   2.71,                0.05337,                0.84363,                0.99992,                      1,                  0.995,                  0.995,                0.73697,                0.73701,                0.67069,                0.30618,                0.03184,                 5.5658,                 5.8127,                0.17172,                0.52267,               0.000496,               0.000496,               0.000496
                    147,                0.01069,                 4.6821,                 2.7083,                0.05291,                0.84906,                0.99992,                      1,                  0.995,                  0.995,                0.73697,                0.73701,                0.66897,                0.30407,                0.03173,                 5.5632,                 5.8272,                0.17089,                0.52211,                0.00043,                0.00043,                0.00043
                    148,                0.01066,                 4.6679,                  2.679,                0.05248,                0.84591,                0.99992,                      1,                  0.995,                  0.995,                 0.7354,                0.73543,                0.66808,                0.30594,                0.03165,                 5.5622,                  5.842,                0.17064,                0.52163,               0.000364,               0.000364,               0.000364
                    149,                0.01069,                  4.599,                 2.6512,                0.05291,                 0.8464,                0.99992,                      1,                  0.995,                  0.995,                0.73855,                0.73858,                0.66956,                0.30474,                0.03155,                 5.5604,                 5.8572,                0.17015,                0.52096,               0.000298,               0.000298,               0.000298
                    150,                0.01061,                 4.6214,                 2.6262,                0.05184,                0.84815,                0.99992,                      1,                  0.995,                  0.995,                0.73855,                0.73858,                0.66818,                0.30371,                0.03141,                 5.5571,                 5.8735,                0.16986,                0.52013,               0.000232,               0.000232,               0.000232
