domain,url,status,error,ind
botanydb.colorado.edu,https://botanydb.colorado.edu/COLO_V/00834/00834697.jpg,200,Downloaded image. Final - 200 Initial - ,40
www.digitalis.uzh.ch,https://www.digitalis.uzh.ch/media/specimen/34/Z-000034546.jpg,200,Downloaded image. Final - 200 Initial - ,41
coicatalogue.uc.pt,https://coicatalogue.uc.pt/JPG/?image=COI00067912.jpg,200,Downloaded image. Final - 200 Initial - ,42
live.staticflickr.com,https://live.staticflickr.com/65535/48262272132_6514409def_o_d.jpg,200,Downloaded image. Final - 200 Initial - ,43
was.tacc.utexas.edu,http://was.tacc.utexas.edu/fileget?coll=TEX-LL&type=O&filename=sp61272530015854353499.att.jpg,200,Downloaded image. Final - 200 Initial - ,44
imagens4.jbrj.gov.br,http://imagens4.jbrj.gov.br/fsi/server?type=image&source=smnh/Tipos_do_Brasil/S-R-6890.jpg,False,"Max retries exceeded, could not download the image.",45
imagens1.jbrj.gov.br,http://imagens1.jbrj.gov.br/fsi/server?type=image&source=hvpr/mnhn/tipos4-Paris/P00123747.jpg,False,"Max retries exceeded, could not download the image.",46
www.jacq.org,http://www.jacq.org/image.php?filename=113465&method=europeana,200,Downloaded image. Final - 200 Initial - ,47
bisque.cyverse.org,https://bisque.cyverse.org/image_service/image/00-XciZf4wsmySSkRKQDY6ZuM/resize:4000/format:jpeg,False,"Max retries exceeded, could not download the image.",48
dbs.kaum.kagoshima-u.ac.jp,https://dbs.kaum.kagoshima-u.ac.jp/musedb/s_plant/picture/KAG002749/KAG002749.jpg,200,Downloaded image. Final - 200 Initial - ,49
midwestherbaria.org,https://midwestherbaria.org/imglib/storage/cinc/aquatic/CINC-V-0001/CINC-V-0001528_lg.jpg,200,Downloaded image. Final - 200 Initial - ,50
image.laji.fi,https://image.laji.fi/MM.293315/TFA.157212.jpg,200,Downloaded image. Final - 200 Initial - ,51
id.digitarium.fi,https://id.digitarium.fi/api/C.14649/Preview001.jpg,200,Downloaded image. Final - 200 Initial - ,52
ia801503.us.archive.org,https://ia801503.us.archive.org/15/items/bbs-dataset202201/BBS0000925.jpg,False,"Max retries exceeded, could not download the image.",53
128.171.206.220,http://128.171.206.220/HAW06017.JPG,False,"Max retries exceeded, could not download the image.",54
www.soroherbaria.org,https://www.soroherbaria.org/imglib/seinet/soro/CS/0019/195109_lg.jpg,200,Downloaded image. Final - 200 Initial - ,55
oregonflora.org,https://oregonflora.org/dbimages/OFPimages/OFPImages_big/2017/OSC0000007.jpg,200,Downloaded image. Final - 200 Initial - ,56
data.cyverse.org,https://data.cyverse.org/dav-anon/iplant/projects/magnoliagrandiFLORA/images/MISS_2018_5/MISS0076264/MISS0076264.JPG,200,Downloaded image. Final - 200 Initial - ,57
web.corral.tacc.utexas.edu,https://web.corral.tacc.utexas.edu/brit/BRIT/BRIT0014000/BRIT14626.jpg,200,Downloaded image. Final - 200 Initial - ,58
www.ifpindia.org,http://www.ifpindia.org/hifp/images/HIFP_001458.JPG,200,Downloaded image. Final - 200 Initial - ,59
riha.african-herbaria.org,http://riha.african-herbaria.org/img/parts/UCJ/UCJ001132.jpg,200,Downloaded image. Final - 200 Initial - ,60
plantdata.bio.cmich.edu,http://plantdata.bio.cmich.edu/images/specimens/GVSC001075/GVSC001075.JPG,200,Downloaded image. Final - 200 Initial - ,61
ia802608.us.archive.org,https://ia802608.us.archive.org/13/items/JBGP-HERBARIO_VIRTUAL/JBGP-002378.jpg,False,"Max retries exceeded, could not download the image.",62
ia904700.us.archive.org,https://ia904700.us.archive.org/8/items/bbs-historical-collection/BBS0040035.jpg,False,"Max retries exceeded, could not download the image.",63
photos.gbif.fr,http://photos.gbif.fr/mnhn_nice/aquarelles_animaux_marins_et_plantes/2005-0-4483.jpg,200,Downloaded image. Final - 200 Initial - ,64
cdm16111.contentdm.oclc.org,https://cdm16111.contentdm.oclc.org/digital/iiif/p15135coll5/13789/full/full/270/default.jpg,200,Downloaded image. Final - 200 Initial - ,65
neherbaria.org,https://neherbaria.org/imglib/cnh/StateUniversityofNewYorkatOswego_OSW/OSW0000/OSW0000874_lg.jpg,200,Downloaded image. Final - 200 Initial - ,66
media.tepapa.govt.nz,https://media.tepapa.govt.nz/collection/691800/preview,200,Downloaded image. Final - 200 Initial - ,67
mam.business-services.upenn.edu,https://mam.business-services.upenn.edu/DOV/0056/DOV0056816.jpg,200,Downloaded image. Final - 200 Initial - ,68
maerua.iict.pt,http://maerua.iict.pt/colecoes/images/LISC000049.jpg,False,"Max retries exceeded, could not download the image.",69
archive.biodiversity.ca,http://archive.biodiversity.ca/herbarium/hsheet1/13460.jpg,False,"Max retries exceeded, could not download the image.",70
calphotos.berkeley.edu,http://calphotos.berkeley.edu/imgs/512x768/0000_0000/1102/0024.jpeg,200,Downloaded image. Final - 200 Initial - ,71
media.canadensys.net,http://media.canadensys.net/mt-specimens/large/MT00216162.jpg,200,Downloaded image. Final - 200 Initial - ,72
arbmis.arcosnetwork.org,http://arbmis.arcosnetwork.org/media_images/BID/LWI117652232.jpg,500,Failed to extract image from dynamic page.,73
rb.jbrj.gov.br,http://rb.jbrj.gov.br/v2/templaterb2.php?colbot=RB&codtestemunho=43021&arquivo=00043021.jpg,500,Failed to extract image from dynamic page.,74
ecbot.science.kew.org,https://ecbot.science.kew.org/ecbotimg/main/EBC_41040.jpg,200,Downloaded image. Final - 200 Initial - ,75
swbiodiversity.org,https://swbiodiversity.org/imglib/seinet/swnode/UNM_VascularPlants/UNM0138/UNM0138332.jpg,200,Downloaded image. Final - 200 Initial - ,76
files.plutof.ut.ee,https://files.plutof.ut.ee/public/large/B1/94/B194B1AA7B04E707A0C9BBC0D4906F6ABC9FD31748CF215E0743E7888973201A.jpg,404,Error 404,77
odu-herbarium-project.s3.amazonaws.com,https://odu-herbarium-project.s3.amazonaws.com/ODU00002884.jpg,200,Downloaded image. Final - 200 Initial - ,78
procyon.acadiau.ca,"http://procyon.acadiau.ca/ecsmith/cgi-bin/image.cgi?CBU2992,jpeg",False,"Max retries exceeded, could not download the image.",79
intermountainbiota.org,https://intermountainbiota.org/imglib/h_seinet/intermt/UTC/UTC00261/UTC00261386_lg.jpg,200,Downloaded image. Final - 200 Initial - ,80
openherbarium.org,https://openherbarium.org/imglib/openherbarium/QarshiBotanicalGarden_QARSHI/QBG00000/IMG_20230105_165325_249_1673238769_lg.jpg,200,Downloaded image. Final - 200 Initial - ,81
ia601503.us.archive.org,https://ia601503.us.archive.org/15/items/bbs-dataset202201/BBS0001043.jpg,False,"Max retries exceeded, could not download the image.",82
images.chrb.njaes.rutgers.edu,https://images.chrb.njaes.rutgers.edu/2022_10_04/CHRB0001299.jpg,200,Downloaded image. Final - 200 Initial - ,83
imagens2.jbrj.gov.br,http://imagens2.jbrj.gov.br/fsi/server?type=image&source=ian/SiBBR_Agosto_2016/IAN151635a.JPG,False,"Max retries exceeded, could not download the image.",84
herbarium.berry.edu,https://herbarium.berry.edu/BCH-000988.jpg,200,Downloaded image. Final - 200 Initial - ,85
digitallibrary.uleth.ca,https://digitallibrary.uleth.ca/digital/api/singleitem/image/herbarium/16143/default.jpg,200,Downloaded image. Final - 200 Initial - ,86
www.uc.edu,https://www.uc.edu/fulfordherbarium/images/Vascular/fullSize/2024ii/CINC-V-0003551.jpg,200,Downloaded image. Final - 200 Initial - ,87
mycoportal.org,https://mycoportal.org/cup/mycology/CUP-045/CUP-045317_lg.jpg,200,Downloaded image. Final - 200 Initial - ,88
img.cyverse.org,https://img.cyverse.org/resize?width=4000&url=https://data.cyverse.org/dav-anon/iplant/projects/sernec/USCH/Bones/SERNEC/JPG/2023/2023_04_17/USCH0077825.JPG,200,Downloaded image. Final - 200 Initial - ,89
digitallibrary.vassar.edu,https://digitallibrary.vassar.edu/sites/default/files/2022-06/87267-Service%20File.jpg,200,Downloaded image. Final - 200 Initial - ,90
arctos.database.museum,http://arctos.database.museum/media/10701383?open,200,Downloaded image. Final - 200 Initial - 401,91
beaty.b-cdn.net,https://beaty.b-cdn.net/V250282.jpg,200,Downloaded image. Final - 200 Initial - ,92
ncmns-cams.s3.amazonaws.com,https://ncmns-cams.s3.amazonaws.com/Collections/herbarium/NCSM001716.JPG,200,Downloaded image. Final - 200 Initial - ,93
