domain,url
id.digitarium.fi,https://id.digitarium.fi/api/C.14649/Preview001.jpg
ia801503.us.archive.org,https://ia801503.us.archive.org/15/items/bbs-dataset202201/BBS0000925.jpg
128.171.206.220,http://128.171.206.220/HAW06017.JPG
www.soroherbaria.org,https://www.soroherbaria.org/imglib/seinet/soro/CS/0019/195109_lg.jpg
oregonflora.org,https://oregonflora.org/dbimages/OFPimages/OFPImages_big/2017/OSC0000007.jpg
data.cyverse.org,https://data.cyverse.org/dav-anon/iplant/projects/magnoliagrandiFLORA/images/MISS_2018_5/MISS0076264/MISS0076264.JPG
web.corral.tacc.utexas.edu,https://web.corral.tacc.utexas.edu/brit/BRIT/BRIT0014000/BRIT14626.jpg
www.ifpindia.org,http://www.ifpindia.org/hifp/images/HIFP_001458.JPG
riha.african-herbaria.org,http://riha.african-herbaria.org/img/parts/UCJ/UCJ001132.jpg
plantdata.bio.cmich.edu,http://plantdata.bio.cmich.edu/images/specimens/GVSC001075/GVSC001075.JPG
ia802608.us.archive.org,https://ia802608.us.archive.org/13/items/JBGP-HERBARIO_VIRTUAL/JBGP-002378.jpg
ia904700.us.archive.org,https://ia904700.us.archive.org/8/items/bbs-historical-collection/BBS0040035.jpg
photos.gbif.fr,http://photos.gbif.fr/mnhn_nice/aquarelles_animaux_marins_et_plantes/2005-0-4483.jpg
cdm16111.contentdm.oclc.org,https://cdm16111.contentdm.oclc.org/digital/iiif/p15135coll5/13789/full/full/270/default.jpg
neherbaria.org,https://neherbaria.org/imglib/cnh/StateUniversityofNewYorkatOswego_OSW/OSW0000/OSW0000874_lg.jpg
media.tepapa.govt.nz,https://media.tepapa.govt.nz/collection/691800/preview
mam.business-services.upenn.edu,https://mam.business-services.upenn.edu/DOV/0056/DOV0056816.jpg
maerua.iict.pt,http://maerua.iict.pt/colecoes/images/LISC000049.jpg
archive.biodiversity.ca,http://archive.biodiversity.ca/herbarium/hsheet1/13460.jpg
calphotos.berkeley.edu,http://calphotos.berkeley.edu/imgs/512x768/0000_0000/1102/0024.jpeg
media.canadensys.net,http://media.canadensys.net/mt-specimens/large/MT00216162.jpg
arbmis.arcosnetwork.org,http://arbmis.arcosnetwork.org/media_images/BID/LWI117652232.jpg
rb.jbrj.gov.br,http://rb.jbrj.gov.br/v2/templaterb2.php?colbot=RB&codtestemunho=43021&arquivo=00043021.jpg
ecbot.science.kew.org,https://ecbot.science.kew.org/ecbotimg/main/EBC_41040.jpg
swbiodiversity.org,https://swbiodiversity.org/imglib/seinet/swnode/UNM_VascularPlants/UNM0138/UNM0138332.jpg
files.plutof.ut.ee,https://files.plutof.ut.ee/public/large/B1/94/B194B1AA7B04E707A0C9BBC0D4906F6ABC9FD31748CF215E0743E7888973201A.jpg
odu-herbarium-project.s3.amazonaws.com,https://odu-herbarium-project.s3.amazonaws.com/ODU00002884.jpg
procyon.acadiau.ca,"http://procyon.acadiau.ca/ecsmith/cgi-bin/image.cgi?CBU2992,jpeg"
intermountainbiota.org,https://intermountainbiota.org/imglib/h_seinet/intermt/UTC/UTC00261/UTC00261386_lg.jpg
openherbarium.org,https://openherbarium.org/imglib/openherbarium/QarshiBotanicalGarden_QARSHI/QBG00000/IMG_20230105_165325_249_1673238769_lg.jpg
ia601503.us.archive.org,https://ia601503.us.archive.org/15/items/bbs-dataset202201/BBS0001043.jpg
images.chrb.njaes.rutgers.edu,https://images.chrb.njaes.rutgers.edu/2022_10_04/CHRB0001299.jpg
imagens2.jbrj.gov.br,http://imagens2.jbrj.gov.br/fsi/server?type=image&source=ian/SiBBR_Agosto_2016/IAN151635a.JPG
herbarium.berry.edu,https://herbarium.berry.edu/BCH-000988.jpg
digitallibrary.uleth.ca,https://digitallibrary.uleth.ca/digital/api/singleitem/image/herbarium/16143/default.jpg
www.uc.edu,https://www.uc.edu/fulfordherbarium/images/Vascular/fullSize/2024ii/CINC-V-0003551.jpg
mycoportal.org,https://mycoportal.org/cup/mycology/CUP-045/CUP-045317_lg.jpg
img.cyverse.org,https://img.cyverse.org/resize?width=4000&url=https://data.cyverse.org/dav-anon/iplant/projects/sernec/USCH/Bones/SERNEC/JPG/2023/2023_04_17/USCH0077825.JPG
